player_name,team_name,age,country,minutes_played,match_rating,playing_debut,squad_debut,market_value_millions,,
Alex Jimenez,AFC Bournemouth,20,Spain,90,7.3,,,23.02,,
Nico O'Reilly,Manchester City,20,England,90,6.8,,,38.53,,
Ayden Heaven,Manchester United,19,England,90,7,,,18.1,,
Lewis Miley,Newcastle United,19,England,90,7.2,,,28.48,,
Leny Yoro,Manchester United,20,France,84,6.3,,,75.76,,x
Jack Hinshelwood,Brighton & Hove Albion,20,England,71,6.3,,,4.05,,
Archie Gray,Tottenham Hotspur,19,England,71,6.7,,,56.01,,
Lucas Bergvall,Tottenham Hotspur,19,Sweden,71,6.1,,,60.17,,
Chris Rigg,Sunderland,18,England,64,6.5,,,7.33,,
Oliver Scarles,West Ham United,20,England,64,6.5,,,13.19,,
Eli Junior Kroupi,AFC Bournemouth,19,France,26,6.7,,,23.01,,
Ezra Mayers,West Ham United,18,England,26,6.4,,,0.15,,
Mateus Mane,Wolverhampton Wanderers,18,England,25,6.5,,,0.66,,
Charalampos Kostoulas,Brighton & Hove Albion,18,Greece,19,6.8,,,31.55,,
Jack Fletcher,Manchester United,18,Scotland,17,5.9,1,,0.15,,
Divine Mukasa,Manchester City,18,England,15,6.1,1,,0.15,,
Tyler Dibling,Everton,19,England,15,5.9,,,49.52,,
Shea Lacey,Manchester United,18,England,6,,1,,0.63,,
Joel Drakes-Thomas,Crystal Palace,16,England,4,,1,1,0,,
Tom Watson,Brighton & Hove Albion,19,England,3,,,,0,,
Leon Routh,Aston Villa,18,England,0,,,1,0,,
Yunus Emre Konak,Brentford,19,Turkiye,0,,,1,7.6,,
Gustavo Gomes,Brentford,20,Brazil,0,,,1,16.18,,
Freddie Simmonds,Brighton & Hove Albion,17,England,0,,,1,0,,
Charlie Gray,Manchester City,19,England,0,,,1,0,,
Reigan Heskey,Manchester City,17,England,0,,,1,0,,
Bendito Mantato,Manchester United,17,England,0,,,1,0,,
Leo Shahar,Newcastle United,18,England,0,,,1,0.44,,
Enso Gonzalez,Wolverhampton Wanderers,20,Paraguay,0,,,1,2.61,,
Luke Rawlings,Wolverhampton Wanderers,17,England,0,,,1,0,,
Saheed Olagunju,Wolverhampton Wanderers,18,England,0,,,1,0.13,,
Julio Soler,AFC Bournemouth,20,Argentina,0,,,,12.88,,
Ethan Nwaneri,Arsenal,18,England,0,,,,59.76,,
Myles Lewis-Skelly,Arsenal,19,England,0,,,,59.99,,
George Hemmings,Aston Villa,18,England,0,,,,0,,
Romelle Donovan,Brentford,19,England,0,,,,8.53,,
Joe Knight,Brighton & Hove Albion,20,England,0,,,,0.09,,
Nehemiah Oriola,Brighton & Hove Albion,18,England,0,,,,0,,
Facundo Buonanotte,Chelsea,20,Argentina,0,,,,27.65,,
Marc Guiu,Chelsea,19,Spain,0,,,,16.34,,
Jorrel Hato,Chelsea,19,Netherlands,0,,,,56.12,,
Josh Acheampong,Chelsea,19,England,0,,,,21.62,,
Romain Esse,Crystal Palace,20,England,0,,,,18.61,,
Jaydee Canvot,Crystal Palace,19,France,0,,,,28.43,,
Adam Aznou,Everton,19,Morocco,0,,,,14.25,,
Trey Nyoni,Liverpool,18,England,0,,,,9.01,,
Rio Ngumoha,Liverpool,17,England,0,,,,26.21,,
Wellity Lucky,Liverpool,19,Spain,0,,,,0,,
Stephen Mfuni,Manchester City,17,England,0,,,,0.08,,
Tyler Fredricson,Manchester United,20,England,0,,,,5.63,,
Sean Neave,Newcastle United,18,England,0,,,,0.12,,
Harrison Jones,Sunderland,20,England,0,,,,0,,
Eliezer Mayenda,Sunderland,20,Spain,0,,,,24.84,,
Mathys Tel,Tottenham Hotspur,20,France,0,,,,51.35,,
Mohamadou Kante,West Ham United,20,France,0,,,,0.41,,